IP	Port	Protocol
106.219.248.198	44705	unknown
106.219.248.235	46049	unknown
106.219.248.235	64993	unknown
106.219.249.115	39905	unknown
106.219.250.111	13752	unknown
106.219.251.6	31201	unknown
106.219.253.143	16033	unknown
106.219.253.143	32929	unknown
106.219.253.143	41983	unknown
106.219.253.143	52193	unknown
106.219.253.143	64033	unknown
106.219.253.143	9581	unknown
106.219.254.137	29665	unknown
106.219.254.137	38133	unknown
106.219.254.137	39746	unknown
106.219.254.137	54753	unknown
106.219.254.137	57249	unknown
106.219.254.137	58336	unknown
106.219.255.133	15745	unknown
106.219.255.133	54913	unknown
106.219.255.194	41377	unknown
106.219.255.194	7713	unknown
106.219.255.80	61665	unknown
106.219.48.60	23649	unknown
106.219.49.68	24545	unknown
106.219.49.68	30785	unknown
106.219.56.169	31617	unknown
106.219.56.182	18984	unknown
106.219.56.182	3009	unknown
106.219.56.182	41313	unknown
106.219.56.182	42336	unknown
106.219.56.182	42626	unknown
106.219.56.182	43872	unknown
106.219.56.182	58209	unknown
106.219.56.59	11873	unknown
106.219.56.59	23859	unknown
106.219.56.59	30912	unknown
106.219.56.59	39104	unknown
106.219.56.59	39616	unknown
106.219.56.59	55073	unknown
106.219.57.173	62593	unknown
106.219.57.193	12001	unknown
106.219.57.193	25313	unknown
106.219.57.193	27456	unknown
106.219.57.193	38400	unknown
106.219.57.193	43521	unknown
106.219.57.193	65248	unknown
106.219.57.226	3233	unknown
106.219.57.226	63329	unknown
106.219.58.125	32152	unknown
106.219.59.184	32587	unknown
106.219.59.233	3937	unknown
106.219.60.165	32596	unknown
106.219.60.241	22401	unknown
106.219.60.69	9792	unknown
106.219.62.184	7232	unknown
106.219.63.5	32385	unknown
106.219.85.172	12659	unknown
106.219.85.172	38625	unknown
106.219.91.194	65056	unknown
106.220.206.39	23712	unknown
106.220.62.207	48993	unknown
106.220.62.207	49409	unknown
106.220.63.186	3681	unknown
106.220.63.186	49249	unknown
106.221.0.154	57441	unknown
106.221.121.74	57813	unknown
106.221.180.76	36257	unknown
106.221.182.139	40192	unknown
106.221.182.210	18909	unknown
106.221.205.111	26781	unknown
106.221.208.165	20897	unknown
106.221.221.95	24417	unknown
106.221.222.104	12416	unknown
106.221.222.104	4929	unknown
106.221.239.107	31969	unknown
106.221.74.58	11873	unknown
106.221.74.58	29153	unknown
106.221.74.58	4297	unknown
106.221.74.58	48897	unknown
106.221.74.58	53441	unknown
106.221.74.58	61227	unknown
106.221.75.116	29409	unknown
106.222.136.189	11713	unknown
106.222.177.120	46785	unknown
106.222.179.221	17633	unknown
106.222.180.222	9953	unknown
106.222.182.54	16289	unknown
106.222.182.54	60858	unknown
106.222.182.89	49632	unknown
106.222.204.31	40160	unknown
106.222.204.31	55329	unknown
106.222.206.104	59905	unknown
106.222.209.254	14698	unknown
106.222.209.254	15969	unknown
106.222.209.254	26368	unknown
106.222.209.254	42656	unknown
106.222.209.254	51403	unknown
106.222.209.254	58473	unknown
106.222.211.101	13344	unknown
106.222.211.101	13537	unknown
106.222.211.101	42465	unknown
106.222.211.101	47169	unknown
106.222.211.101	56896	unknown
106.222.211.101	57296	unknown
106.222.211.101	6105	unknown
106.51.130.92	35873	unknown
106.67.180.252	42404	unknown
106.76.174.106	21568	unknown
106.76.174.106	23841	unknown
106.76.174.106	40407	unknown
106.76.174.106	41057	unknown
106.76.174.106	57696	unknown
106.76.174.106	59507	unknown
106.76.174.106	8992	unknown
106.77.137.28	11265	unknown
106.77.185.63	12257	unknown
106.78.21.24	15841	unknown
106.78.36.21	52705	unknown
10.79.3.21	80	http
10.79.3.22	80	http
10.79.3.23	80	http
10.79.3.24	80	http
10.79.3.29	80	http
10.79.3.31	10720	unknown
10.79.3.31	11074	unknown
10.79.3.31	1120	unknown
10.79.3.31	11200	unknown
10.79.3.31	1216	unknown
10.79.3.31	12480	unknown
10.79.3.31	13088	unknown
10.79.3.31	13536	unknown
10.79.3.31	14176	unknown
10.79.3.31	14784	unknown
10.79.3.31	14976	unknown
10.79.3.31	15008	unknown
10.79.3.31	15872	unknown
10.79.3.31	16288	unknown
10.79.3.31	17504	unknown
10.79.3.31	17632	unknown
10.79.3.31	17824	unknown
10.79.3.31	1792	unknown
10.79.3.31	18176	unknown
10.79.3.31	18538	unknown
10.79.3.31	1854	unknown
10.79.3.31	18560	unknown
10.79.3.31	18696	unknown
10.79.3.31	1888	unknown
10.79.3.31	18912	unknown
10.79.3.31	18976	unknown
10.79.3.31	19168	unknown
10.79.3.31	19564	unknown
10.79.3.31	19862	unknown
10.79.3.31	20108	unknown
10.79.3.31	20352	unknown
10.79.3.31	20896	unknown
10.79.3.31	21360	unknown
10.79.3.31	23168	unknown
10.79.3.31	23240	unknown
10.79.3.31	2362	unknown
10.79.3.31	23904	unknown
10.79.3.31	24288	unknown
10.79.3.31	24384	unknown
10.79.3.31	24508	unknown
10.79.3.31	24672	unknown
10.79.3.31	25312	unknown
10.79.3.31	25384	unknown
10.79.3.31	25440	unknown
10.79.3.31	25696	unknown
10.79.3.31	25740	unknown
10.79.3.31	25792	unknown
10.79.3.31	26438	unknown
10.79.3.31	26668	unknown
10.79.3.31	26912	unknown
10.79.3.31	2706	unknown
10.79.3.31	27328	unknown
10.79.3.31	2784	unknown
10.79.3.31	28320	unknown
10.79.3.31	28928	unknown
10.79.3.31	29152	unknown
10.79.3.31	29184	unknown
10.79.3.31	30944	unknown
10.79.3.31	31200	unknown
10.79.3.31	31426	unknown
10.79.3.31	31712	unknown
10.79.3.31	32034	unknown
10.79.3.31	32352	unknown
10.79.3.31	32832	unknown
10.79.3.31	3296	unknown
10.79.3.31	32970	unknown
10.79.3.31	33088	unknown
10.79.3.31	33248	unknown
10.79.3.31	33272	unknown
10.79.3.31	33474	unknown
10.79.3.31	3360	unknown
10.79.3.31	33646	unknown
10.79.3.31	33760	unknown
10.79.3.31	33890	unknown
10.79.3.31	34106	unknown
10.79.3.31	3424	unknown
10.79.3.31	34296	unknown
10.79.3.31	34400	unknown
10.79.3.31	34488	unknown
10.79.3.31	34656	unknown
10.79.3.31	34674	unknown
10.79.3.31	34912	unknown
10.79.3.31	34976	unknown
10.79.3.31	35168	unknown
10.79.3.31	35380	unknown
10.79.3.31	35426	unknown
10.79.3.31	35626	unknown
10.79.3.31	36064	unknown
10.79.3.31	36288	unknown
10.79.3.31	36318	unknown
10.79.3.31	36640	unknown
10.79.3.31	36746	unknown
10.79.3.31	36864	unknown
10.79.3.31	36920	unknown
10.79.3.31	36930	unknown
10.79.3.31	36978	unknown
10.79.3.31	37152	unknown
10.79.3.31	37258	unknown
10.79.3.31	37376	unknown
10.79.3.31	37762	unknown
10.79.3.31	3792	unknown
10.79.3.31	37972	unknown
10.79.3.31	38010	unknown
10.79.3.31	38194	unknown
10.79.3.31	38748	unknown
10.79.3.31	39008	unknown
10.79.3.31	39202	unknown
10.79.3.31	39264	unknown
10.79.3.31	39452	unknown
10.79.3.31	39628	unknown
