IP	Port	Protocol
10.79.1.10	62998	unknown
10.79.1.10	64388	unknown
10.79.1.10	65024	unknown
10.79.1.10	65248	unknown
10.79.1.10	65255	unknown
10.79.1.10	65367	unknown
10.79.1.10	6624	unknown
10.79.1.10	6753	unknown
10.79.1.10	6784	unknown
10.79.1.10	7082	unknown
10.79.1.10	7138	unknown
10.79.1.10	7198	unknown
10.79.1.10	7233	unknown
10.79.1.10	7649	unknown
10.79.1.10	7840	unknown
10.79.1.10	8186	unknown
10.79.1.10	8369	unknown
10.79.1.10	8399	unknown
10.79.1.10	8752	unknown
10.79.1.10	9027	unknown
10.79.1.10	9287	unknown
10.79.1.10	9294	unknown
10.79.1.11	10244	unknown
10.79.1.11	10287	unknown
10.79.1.11	10347	unknown
10.79.1.11	10465	unknown
10.79.1.11	10589	unknown
10.79.1.11	10600	unknown
10.79.1.11	1068	unknown
10.79.1.11	10756	unknown
10.79.1.11	1096	unknown
10.79.1.11	11094	unknown
10.79.1.11	1121	unknown
10.79.1.11	11843	unknown
10.79.1.11	12000	unknown
10.79.1.11	1212	unknown
10.79.1.11	12294	unknown
10.79.1.11	12353	unknown
10.79.1.11	12380	unknown
10.79.1.11	12514	unknown
10.79.1.11	12676	unknown
10.79.1.11	12855	unknown
10.79.1.11	13024	unknown
10.79.1.11	13047	unknown
10.79.1.11	13313	unknown
10.79.1.11	13378	unknown
10.79.1.11	1350	unknown
10.79.1.11	1380	unknown
10.79.1.11	13954	unknown
10.79.1.11	14240	unknown
10.79.1.11	14506	unknown
10.79.1.11	14849	unknown
10.79.1.11	15137	unknown
10.79.1.11	15361	unknown
10.79.1.11	1549	unknown
10.79.1.11	15495	unknown
10.79.1.11	15664	unknown
10.79.1.11	16357	unknown
10.79.1.11	16609	unknown
10.79.1.11	16736	unknown
10.79.1.11	16738	unknown
10.79.1.11	17364	unknown
10.79.1.11	17633	unknown
10.79.1.11	1767	unknown
10.79.1.11	17737	unknown
10.79.1.11	17856	unknown
10.79.1.11	1814	unknown
10.79.1.11	18145	unknown
10.79.1.11	18208	unknown
10.79.1.11	18433	unknown
10.79.1.11	18439	unknown
10.79.1.11	18851	unknown
10.79.1.11	18950	unknown
10.79.1.11	19009	unknown
10.79.1.11	19213	unknown
10.79.1.11	19351	unknown
10.79.1.11	1943	unknown
10.79.1.11	19940	unknown
10.79.1.11	20047	unknown
10.79.1.11	20097	unknown
10.79.1.11	20129	unknown
10.79.1.11	20613	unknown
10.79.1.11	21673	unknown
10.79.1.11	2176	unknown
10.79.1.11	2177	unknown
10.79.1.11	22006	unknown
10.79.1.11	22661	unknown
10.79.1.11	22849	unknown
10.79.1.11	23049	unknown
10.79.1.11	23270	unknown
10.79.1.11	23366	unknown
10.79.1.11	23414	unknown
10.79.1.11	23553	unknown
10.79.1.11	2369	unknown
10.79.1.11	2372	unknown
10.79.1.11	23974	unknown
10.79.1.11	24320	unknown
10.79.1.11	2491	unknown
10.79.1.11	25885	unknown
10.79.1.11	25919	unknown
10.79.1.11	26080	unknown
10.79.1.11	26245	unknown
10.79.1.11	26283	unknown
10.79.1.11	26788	unknown
10.79.1.11	27040	unknown
10.79.1.11	27474	unknown
10.79.1.11	27625	unknown
10.79.1.11	27714	unknown
10.79.1.11	28020	unknown
10.79.1.11	28128	unknown
10.79.1.11	28226	unknown
10.79.1.11	28284	unknown
10.79.1.11	28353	unknown
10.79.1.11	28512	unknown
10.79.1.11	28600	unknown
10.79.1.11	28736	unknown
10.79.1.11	29510	unknown
10.79.1.11	2977	unknown
10.79.1.11	30196	unknown
10.79.1.11	30240	unknown
10.79.1.11	30342	unknown
10.79.1.11	30483	unknown
10.79.1.11	31329	unknown
10.79.1.11	3152	unknown
10.79.1.11	31585	unknown
10.79.1.11	3169	unknown
10.79.1.11	31713	unknown
10.79.1.11	31887	unknown
10.79.1.11	32073	unknown
10.79.1.11	3313	unknown
10.79.1.11	3337	unknown
10.79.1.11	33511	unknown
10.79.1.11	33554	unknown
10.79.1.11	3396	unknown
10.79.1.11	3444	unknown
10.79.1.11	34749	unknown
10.79.1.11	34953	unknown
10.79.1.11	35147	unknown
10.79.1.11	35169	unknown
10.79.1.11	35200	unknown
10.79.1.11	36449	unknown
10.79.1.11	36650	unknown
10.79.1.11	37309	unknown
10.79.1.11	37637	unknown
10.79.1.11	37683	unknown
10.79.1.11	38370	unknown
10.79.1.11	38624	unknown
10.79.1.11	38625	unknown
10.79.1.11	38784	unknown
10.79.1.11	38880	unknown
10.79.1.11	3929	unknown
10.79.1.11	39411	unknown
10.79.1.11	40132	unknown
10.79.1.11	40265	unknown
10.79.1.11	40417	unknown
10.79.1.11	4069	unknown
10.79.1.11	40761	unknown
10.79.1.11	41057	unknown
10.79.1.11	41062	unknown
10.79.1.11	41538	unknown
10.79.1.11	4172	unknown
10.79.1.11	42208	unknown
10.79.1.11	42266	unknown
10.79.1.11	43066	unknown
10.79.1.11	43492	unknown
10.79.1.11	43616	unknown
10.79.1.11	43680	unknown
10.79.1.11	43712	unknown
10.79.1.11	43800	unknown
10.79.1.11	44537	unknown
10.79.1.11	44684	unknown
10.79.1.11	44768	unknown
10.79.1.11	45153	unknown
10.79.1.11	45257	unknown
10.79.1.11	45285	unknown
10.79.1.11	45479	unknown
10.79.1.11	45601	unknown
10.79.1.11	45635	unknown
10.79.1.11	45699	unknown
10.79.1.11	45889	unknown
10.79.1.11	46512	unknown
10.79.1.11	46718	unknown
10.79.1.11	46817	unknown
10.79.1.11	46944	unknown
10.79.1.11	47110	unknown
10.79.1.11	47176	unknown
10.79.1.11	47286	unknown
10.79.1.11	47584	unknown
10.79.1.11	48288	unknown
10.79.1.11	48508	unknown
10.79.1.11	48617	unknown
10.79.1.11	48658	unknown
10.79.1.11	48736	unknown
10.79.1.11	48962	unknown
10.79.1.11	49285	unknown
10.79.1.11	49467	unknown
10.79.1.11	49470	unknown
10.79.1.11	49826	unknown
10.79.1.11	50464	unknown
10.79.1.11	5115	unknown
10.79.1.11	51192	unknown
10.79.1.11	5126	unknown
10.79.1.11	51331	unknown
